"","GO.ID","Term","Annotated","Significant","Expected","Fisher.elim","'-log10p","Genes"
"22","GO:0006355","regulation of transcription, DNA-templated",365,21,4.67,0.0252,1.59859945921846,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"23","GO:0042471","ear morphogenesis",20,2,0.26,0.0259,1.58670023591875,"DLX5; SOX21"
"24","GO:0035113","embryonic appendage morphogenesis",20,2,0.26,0.0259,1.58670023591875,"DLX5; RARB"
"25","GO:0006351","transcription, DNA-templated",373,21,4.77,0.0299,1.52432881167557,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"26","GO:2001141","regulation of RNA biosynthetic process",373,21,4.77,0.0299,1.52432881167557,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"27","GO:1903506","regulation of nucleic acid-templated transcription",373,21,4.77,0.0299,1.52432881167557,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"28","GO:0042127","regulation of cell population proliferation",145,5,1.85,0.0329,1.48280410205003,"BCL6; DLX5; HSF3; MYC; RARB"
"29","GO:0035108","limb morphogenesis",23,2,0.29,0.0337,1.47237009912866,"DLX5; RARB"
"30","GO:0034645","cellular macromolecule biosynthetic process",543,22,6.94,0.0341,1.4672456210075,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; RPA1; SOX11; SOX21"
"31","GO:0097659","nucleic acid-templated transcription",381,21,4.87,0.0349,1.45717457304082,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"32","GO:0032774","RNA biosynthetic process",382,21,4.88,0.0356,1.44855000202712,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"33","GO:0035107","appendage morphogenesis",24,2,0.31,0.0364,1.43889861635094,"DLX5; RARB"
"34","GO:0009059","macromolecule biosynthetic process",553,22,7.07,0.0378,1.42250820016277,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; RPA1; SOX11; SOX21"
"35","GO:0032502","developmental process",658,15,8.41,0.0382,1.41793663708829,"BCL6; BHLHE22; CSRP1; DLX5; ETS1; GLI3; HESX1; HHEX; MIXL1; MYC; POU2F1; RARB; RAX; SOX11; SOX21"
"36","GO:1902680","positive regulation of RNA biosynthetic process",195,13,2.49,0.0398,1.40011692792631,"BARX1; DLX5; GLI3; HSF3; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"37","GO:1903508","positive regulation of nucleic acid-templated transcription",195,13,2.49,0.0398,1.40011692792631,"BARX1; DLX5; GLI3; HSF3; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"38","GO:0050727","regulation of inflammatory response",27,2,0.35,0.0453,1.34390179798717,"BCL6; HSF3"
